game_id,team_id,TEAM_NAME,TEAM_ABBREVIATION,WL,HOMEORAWAY,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,E_PACE,is_team1
0022300980,1610612738,Boston Celtics,BOS,1,0,2,-2,0.032999999999999974,14,16,0.186,8,10,-0.02400000000000002,2,1,3,6,6,1,-2,-3,52.0,0.5920000000000001,12.200000000000003,-7.5,19.6,-0.3999999999999986,0.04500000000000001,0.040000000000000036,0.06,-0.015000000000000013,-5.099999999999994,0
0022300955,1610612738,Boston Celtics,BOS,1,1,0,-10,0.05300000000000005,14,19,0.14500000000000002,1,1,0.027000000000000024,-13,-5,-18,4,8,2,-5,1,30.0,0.20000000000000007,5.200000000000003,-2.799999999999997,7.9,-0.1999999999999993,-0.0040000000000000036,0.009000000000000008,-0.0010000000000000009,-0.027999999999999997,-1.2999999999999972,0
0022300943,1610612738,Boston Celtics,BOS,1,0,2,6,-0.009999999999999953,5,17,-0.061,7,8,-0.014000000000000012,5,3,8,2,1,1,-2,-4,32.0,0.389,7.8999999999999915,-8.0,15.8,0.0,-0.032999999999999974,0.006000000000000005,-0.0050000000000000044,-0.032,-2.700000000000003,0
0022300938,1610612738,Boston Celtics,BOS,1,0,10,13,0.04199999999999998,5,12,0.018000000000000016,-3,1,-0.33299999999999996,5,2,7,11,4,5,-8,0,44.0,0.524,14.700000000000003,-5.6000000000000085,20.200000000000003,2.400000000000002,-0.020000000000000018,0.028000000000000025,0.028000000000000025,-0.032,-0.5,0
0022300920,1610612738,Boston Celtics,BOS,1,0,2,7,-0.017000000000000015,6,8,0.09500000000000003,0,-3,0.14400000000000002,3,-1,2,8,1,3,-2,-2,20.0,0.20000000000000007,5.200000000000003,-2.799999999999997,7.9,-0.1999999999999993,-0.0040000000000000036,0.009000000000000008,-0.0010000000000000009,-0.027999999999999997,-1.2999999999999972,0
0022300906,1610612738,Boston Celtics,BOS,0,0,-4,1,-0.04899999999999999,7,17,0.09899999999999998,-5,3,-0.31499999999999995,5,-3,2,-3,-4,-1,5,-1,-12.0,0.09200000000000008,5.0,-1.9000000000000057,6.800000000000001,-1.6999999999999993,-0.008000000000000007,0.010000000000000009,0.006000000000000005,-0.008000000000000007,0.7999999999999972,0
0022300886,1610612738,Boston Celtics,BOS,0,0,0,3,-0.014000000000000012,-5,-4,-0.08099999999999996,4,1,0.281,6,5,11,-4,-5,6,5,3,-2.0,0.17300000000000004,7.200000000000003,0.09999999999999432,7.0,-1.0,0.014999999999999986,-0.006000000000000005,0.01100000000000001,-0.016000000000000014,0.4000000000000057,0
0022300872,1610612738,Boston Celtics,BOS,1,1,17,4,0.16100000000000003,18,8,0.33899999999999997,0,-2,0.126,-5,10,5,11,8,2,-10,6,104.0,0.247,5.700000000000003,-3.6000000000000085,9.200000000000001,-0.8999999999999986,-0.027000000000000024,0.0030000000000000027,-0.0030000000000000027,-0.018000000000000016,-2.299999999999997,0
0022300859,1610612738,Boston Celtics,BOS,1,1,8,0,0.08500000000000002,12,9,0.22299999999999998,0,-5,0.278,-1,6,5,13,0,4,2,3,56.0,0.17800000000000005,4.3999999999999915,-4.0,8.3,0.6000000000000014,0.025999999999999995,0.015000000000000013,0.031000000000000028,0.0,-2.799999999999997,0
0022300836,1610612738,Boston Celtics,BOS,1,1,2,-20,0.133,-9,-20,-0.10600000000000001,23,25,0.0020000000000000018,1,27,28,1,1,4,5,-7,36.0,0.254,6.700000000000003,-2.6000000000000085,9.200000000000001,1.2000000000000028,-0.0020000000000000018,0.02200000000000002,0.027000000000000024,0.001999999999999988,-0.29999999999999716,0
