game_id,team_id,TEAM_NAME,TEAM_ABBREVIATION,WL,HOMEORAWAY,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,E_PACE,is_target_team,is_team1
0022300001,1610612739,Cleveland Cavaliers,CLE,0,0,44,84,0.524,8,28,0.286,20,25,0.8,5,30,35,27,10,9,13,20,-5.0,0.603,113.0,109.0,4.0,20.1,0.235,0.77,0.507,0.135,99.3,0,0
0022300091,1610612739,Cleveland Cavaliers,CLE,0,1,43,99,0.434,12,31,0.387,15,24,0.625,18,33,51,29,2,6,6,16,-12.0,0.603,113.0,109.0,4.0,20.1,0.235,0.77,0.507,0.135,99.3,0,0
0022300968,1610612751,Brooklyn Nets,BKN,0,0,33,77,0.429,10,25,0.4,24,31,0.774,12,33,45,18,8,3,20,18,-21.0,0.384,110.8,113.2,-2.4,18.9,0.252,0.76,0.498,0.13,99.5,0,0
0022300941,1610612760,Oklahoma City Thunder,OKC,0,1,43,99,0.434,14,37,0.378,11,15,0.733,13,37,50,24,5,4,12,16,-10.0,0.694,117.3,109.5,7.8,19.2,0.212,0.734,0.483,0.122,102.2,0,0
0022300928,1610612753,Orlando Magic,ORL,0,1,33,88,0.375,9,36,0.25,22,29,0.759,13,33,46,18,7,3,12,27,-14.0,0.583,110.7,108.6,2.2,18.1,0.257,0.781,0.516,0.148,99.4,0,0
0022300391,1610612753,Orlando Magic,ORL,1,0,39,73,0.534,6,18,0.333,33,41,0.805,10,29,39,22,9,5,13,18,7.0,0.583,110.7,108.6,2.2,18.1,0.257,0.781,0.516,0.148,99.4,0,0
0022300209,1610612753,Orlando Magic,ORL,1,0,43,87,0.494,7,20,0.35,35,42,0.833,8,34,42,21,10,10,15,23,12.0,0.583,110.7,108.6,2.2,18.1,0.257,0.781,0.516,0.148,99.4,0,0
0022300903,1610612750,Minnesota Timberwolves,MIN,1,0,46,98,0.469,7,25,0.28,14,19,0.737,13,35,48,23,9,6,9,20,2.0,0.694,113.0,106.0,7.0,19.2,0.234,0.77,0.515,0.142,99.5,0,0
0022300338,1610612750,Minnesota Timberwolves,MIN,1,1,48,86,0.558,18,30,0.6,13,16,0.813,8,28,36,33,10,4,15,16,18.0,0.694,113.0,106.0,7.0,19.2,0.234,0.77,0.515,0.142,99.5,0,0
0022300892,1610612742,Dallas Mavericks,DAL,0,1,45,93,0.484,13,39,0.333,17,21,0.81,9,32,41,23,5,6,9,23,-17.0,0.597,116.0,113.5,2.5,18.5,0.224,0.747,0.486,0.12,102.6,0,0
0022300819,1610612742,Dallas Mavericks,DAL,0,0,41,87,0.471,14,31,0.452,15,21,0.714,8,30,38,15,9,4,15,13,-22.0,0.597,116.0,113.5,2.5,18.5,0.224,0.747,0.486,0.12,102.6,0,0
0022300877,1610612759,San Antonio Spurs,SAS,1,1,46,85,0.541,10,25,0.4,15,19,0.789,10,35,45,33,6,8,14,17,12.0,0.233,107.4,114.7,-7.2,20.4,0.228,0.762,0.491,0.144,103.6,0,0
0022300146,1610612759,San Antonio Spurs,SAS,0,0,40,94,0.426,8,26,0.308,23,30,0.767,12,24,36,26,7,5,11,15,-41.0,0.233,107.4,114.7,-7.2,20.4,0.228,0.762,0.491,0.144,103.6,0,0
0022300863,1610612740,New Orleans Pelicans,NOP,1,1,48,86,0.558,15,32,0.469,18,26,0.692,11,36,47,25,9,4,17,17,27.0,0.616,115.2,109.5,5.7,19.4,0.248,0.769,0.513,0.13,100.4,0,0
0022300843,1610612740,New Orleans Pelicans,NOP,0,0,42,90,0.467,11,29,0.379,19,23,0.826,7,33,40,26,2,4,10,12,-9.0,0.616,115.2,109.5,5.7,19.4,0.248,0.769,0.513,0.13,100.4,0,0
0022300829,1610612761,Toronto Raptors,TOR,1,0,53,96,0.552,12,28,0.429,12,17,0.706,12,33,45,35,4,7,11,17,8.0,0.315,110.4,115.3,-4.9,20.3,0.244,0.739,0.486,0.135,101.5,0,0
0022300782,1610612761,Toronto Raptors,TOR,0,1,50,98,0.51,6,26,0.231,19,26,0.731,15,41,56,30,6,7,15,20,-2.0,0.315,110.4,115.3,-4.9,20.3,0.244,0.739,0.486,0.135,101.5,0,0
0022300230,1610612761,Toronto Raptors,TOR,1,0,48,90,0.533,11,27,0.407,25,30,0.833,13,33,46,26,7,3,17,15,1.0,0.315,110.4,115.3,-4.9,20.3,0.244,0.739,0.486,0.135,101.5,0,0
0022300761,1610612766,Charlotte Hornets,CHA,1,1,44,82,0.537,10,34,0.294,13,16,0.813,5,41,46,27,5,3,16,17,9.0,0.25,106.6,116.7,-10.2,18.1,0.218,0.749,0.473,0.139,99.6,0,0
0022300707,1610612766,Charlotte Hornets,CHA,0,1,35,88,0.398,8,29,0.276,21,25,0.84,11,32,43,18,6,5,10,16,-16.0,0.25,106.6,116.7,-10.2,18.1,0.218,0.749,0.473,0.139,99.6,0,0
0022300365,1610612766,Charlotte Hornets,CHA,0,0,45,95,0.474,8,31,0.258,15,19,0.789,16,21,37,23,6,0,10,18,-31.0,0.25,106.6,116.7,-10.2,18.1,0.218,0.749,0.473,0.139,99.6,0,0
0022300133,1610612766,Charlotte Hornets,CHA,1,0,47,88,0.534,8,20,0.4,23,23,1.0,12,29,41,23,5,10,13,20,1.0,0.25,106.6,116.7,-10.2,18.1,0.218,0.749,0.473,0.139,99.6,0,0
0022300755,1610612752,New York Knicks,NYK,0,1,40,84,0.476,10,32,0.313,21,23,0.913,5,27,32,16,7,4,9,15,-14.0,0.611,113.8,110.4,3.4,17.7,0.297,0.766,0.531,0.135,98.1,0,0
0022300685,1610612752,New York Knicks,NYK,1,1,41,103,0.398,8,38,0.211,19,25,0.76,24,36,60,15,8,7,10,14,4.0,0.611,113.8,110.4,3.4,17.7,0.297,0.766,0.531,0.135,98.1,0,0
0022300441,1610612752,New York Knicks,NYK,0,0,45,95,0.474,17,37,0.459,19,27,0.704,15,27,42,24,12,2,13,19,-14.0,0.611,113.8,110.4,3.4,17.7,0.297,0.766,0.531,0.135,98.1,0,0
0022300719,1610612745,Houston Rockets,HOU,0,0,50,97,0.515,12,25,0.48,17,23,0.739,20,28,48,26,5,3,15,16,-3.0,0.514,111.6,110.0,1.6,17.7,0.252,0.764,0.507,0.126,101.6,0,0
0022300409,1610612745,Houston Rockets,HOU,0,1,47,97,0.485,5,24,0.208,18,22,0.818,15,29,44,19,15,2,10,16,-6.0,0.514,111.6,110.0,1.6,17.7,0.252,0.764,0.507,0.126,101.6,0,0
0022300691,1610612758,Sacramento Kings,SAC,1,0,51,90,0.567,13,34,0.382,18,28,0.643,9,29,38,26,15,3,16,17,11.0,0.583,113.9,113.7,0.2,19.9,0.24,0.785,0.507,0.129,101.6,0,0
0022300583,1610612758,Sacramento Kings,SAC,0,1,44,85,0.518,15,37,0.405,18,32,0.563,8,30,38,27,7,6,11,20,-5.0,0.583,113.9,113.7,0.2,19.9,0.24,0.785,0.507,0.129,101.6,0,0
0022300670,1610612738,Boston Celtics,BOS,1,1,47,87,0.54,17,36,0.472,18,22,0.818,7,33,40,25,6,9,10,16,5.0,0.781,120.3,109.3,10.9,19.1,0.249,0.763,0.517,0.119,99.7,0,0
0022300507,1610612738,Boston Celtics,BOS,0,0,47,90,0.522,17,35,0.486,20,29,0.69,13,29,42,26,3,8,15,20,-2.0,0.781,120.3,109.3,10.9,19.1,0.249,0.763,0.517,0.119,99.7,0,0
0022300493,1610612738,Boston Celtics,BOS,1,0,46,90,0.511,16,41,0.39,10,19,0.526,13,43,56,26,6,6,17,20,17.0,0.781,120.3,109.3,10.9,19.1,0.249,0.763,0.517,0.119,99.7,0,0
0022301202,1610612738,Boston Celtics,BOS,0,0,46,97,0.474,12,41,0.293,8,12,0.667,13,43,56,27,5,9,17,19,-10.0,0.781,120.3,109.3,10.9,19.1,0.249,0.763,0.517,0.119,99.7,0,0
0022300118,1610612738,Boston Celtics,BOS,1,1,54,95,0.568,20,35,0.571,27,28,0.964,11,46,57,27,5,2,11,19,51.0,0.781,120.3,109.3,10.9,19.1,0.249,0.763,0.517,0.119,99.7,0,0
0022300652,1610612763,Memphis Grizzlies,MEM,0,0,38,82,0.463,11,30,0.367,23,31,0.742,13,32,45,20,5,7,13,20,-6.0,0.329,104.4,111.8,-7.4,18.0,0.23,0.748,0.48,0.149,100.9,0,0
