2024-03-08 10:48:05,856 - active_players - INFO - Inserted and updated for player: {'full_name': 'Ron Harper Jr.', 'id': 1631199}
2024-03-08 10:48:05,896 - active_players - INFO - Inserted and updated for player: {'full_name': 'Gary Harris', 'id': 203914}
2024-03-08 10:48:05,939 - active_players - INFO - Inserted and updated for player: {'full_name': 'Joe Harris', 'id': 203925}
2024-03-08 10:48:05,987 - active_players - INFO - Inserted and updated for player: {'full_name': 'Kevon Harris', 'id': 1630284}
2024-03-08 10:48:06,031 - active_players - INFO - Inserted and updated for player: {'full_name': 'Tobias Harris', 'id': 202699}
2024-03-08 10:48:06,080 - active_players - INFO - Inserted and updated for player: {'full_name': 'Josh Hart', 'id': 1628404}
2024-03-08 10:48:06,124 - active_players - INFO - Inserted and updated for player: {'full_name': 'Isaiah Hartenstein', 'id': 1628392}
2024-03-08 10:48:06,169 - active_players - INFO - Inserted and updated for player: {'full_name': 'Sam Hauser', 'id': 1630573}
2024-03-08 10:48:06,211 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jordan Hawkins', 'id': 1641722}
2024-03-08 10:48:06,251 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jaxson Hayes', 'id': 1629637}
2024-03-08 10:48:06,292 - active_players - INFO - Inserted and updated for player: {'full_name': 'Killian Hayes', 'id': 1630165}
2024-03-08 10:48:06,335 - active_players - INFO - Inserted and updated for player: {'full_name': 'Gordon Hayward', 'id': 202330}
2024-03-08 10:48:06,376 - active_players - INFO - Inserted and updated for player: {'full_name': 'Scoot Henderson', 'id': 1630703}
2024-03-08 10:48:06,463 - active_players - INFO - Inserted and updated for player: {'full_name': 'Taylor Hendricks', 'id': 1641707}
2024-03-08 10:48:06,518 - active_players - INFO - Inserted and updated for player: {'full_name': 'Tyler Herro', 'id': 1629639}
2024-03-08 10:48:06,559 - active_players - INFO - Inserted and updated for player: {'full_name': 'Buddy Hield', 'id': 1627741}
2024-03-08 10:48:06,604 - active_players - INFO - Inserted and updated for player: {'full_name': 'Haywood Highsmith', 'id': 1629312}
2024-03-08 10:48:06,658 - active_players - INFO - Inserted and updated for player: {'full_name': 'Nate Hinton', 'id': 1630207}
2024-03-08 10:48:06,699 - active_players - INFO - Inserted and updated for player: {'full_name': "D'Moi Hodge", 'id': 1641793}
2024-03-08 10:48:06,741 - active_players - INFO - Inserted and updated for player: {'full_name': 'Aaron Holiday', 'id': 1628988}
2024-03-08 10:48:06,784 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jrue Holiday', 'id': 201950}
2024-03-08 10:48:06,825 - active_players - INFO - Inserted and updated for player: {'full_name': 'Justin Holiday', 'id': 203200}
2024-03-08 10:48:06,875 - active_players - INFO - Inserted and updated for player: {'full_name': 'Richaun Holmes', 'id': 1626158}
2024-03-08 10:48:06,921 - active_players - INFO - Inserted and updated for player: {'full_name': 'Chet Holmgren', 'id': 1631096}
2024-03-08 10:48:06,965 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jalen Hood-Schifino', 'id': 1641720}
2024-03-08 10:48:07,014 - active_players - INFO - Inserted and updated for player: {'full_name': 'Al Horford', 'id': 201143}
2024-03-08 10:48:07,060 - active_players - INFO - Inserted and updated for player: {'full_name': 'Talen Horton-Tucker', 'id': 1629659}
2024-03-08 10:48:07,103 - active_players - INFO - Inserted and updated for player: {'full_name': 'Danuel House Jr.', 'id': 1627863}
2024-03-08 10:48:07,143 - active_players - INFO - Inserted and updated for player: {'full_name': 'Caleb Houstan', 'id': 1631216}
2024-03-08 10:48:07,186 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jett Howard', 'id': 1641724}
2024-03-08 10:48:07,228 - active_players - INFO - Inserted and updated for player: {'full_name': 'Kevin Huerter', 'id': 1628989}
2024-03-08 10:48:07,268 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jay Huff', 'id': 1630643}
2024-03-08 10:48:07,309 - active_players - INFO - Inserted and updated for player: {'full_name': "De'Andre Hunter", 'id': 1629631}
2024-03-08 10:48:07,358 - active_players - INFO - Inserted and updated for player: {'full_name': 'Bones Hyland', 'id': 1630538}
2024-03-08 10:48:07,420 - active_players - INFO - Inserted and updated for player: {'full_name': 'Joe Ingles', 'id': 204060}
2024-03-08 10:48:07,460 - active_players - INFO - Inserted and updated for player: {'full_name': 'Brandon Ingram', 'id': 1627742}
2024-03-08 10:48:07,503 - active_players - INFO - Inserted and updated for player: {'full_name': 'Kyrie Irving', 'id': 202681}
2024-03-08 10:48:07,557 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jonathan Isaac', 'id': 1628371}
2024-03-08 10:48:07,596 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jaden Ivey', 'id': 1631093}
